"ambivalence"	"condition"
0.333333333333333	1
2	1
-2	1
-0.666666666666667	1
-3	1
1.66666666666667	1
1.33333333333333	1
0.666666666666667	1
1.33333333333333	1
-1	1
0.666666666666667	1
-1.33333333333333	1
-3	1
-2.33333333333333	1
1	1
-1	1
0	1
0	1
-1.66666666666667	1
0	1
-1.33333333333333	1
1	1
-0.666666666666667	1
-1	1
1.66666666666667	2
-1.33333333333333	2
-0.666666666666667	2
0.333333333333333	2
3	2
-1	2
-1	2
0	2
-3	2
0	2
1	2
-2	2
2.33333333333333	2
0.666666666666667	2
-0.333333333333333	2
-3	2
1.33333333333333	2
0	2
1.66666666666667	2
-0.666666666666667	2
-2.33333333333333	2
-1.66666666666667	2
1.66666666666667	2
-1.33333333333333	3
1	3
-0.666666666666667	3
0.333333333333333	3
2	3
0.333333333333333	3
0.333333333333333	3
2	3
1.66666666666667	3
2	3
2	3
0.666666666666667	3
0	3
-0.666666666666667	3
1.33333333333333	3
-0.666666666666667	3
-1	3
0.666666666666667	3
-0.666666666666667	3
-1.33333333333333	3
1.66666666666667	3
-2	3
1.33333333333333	3
